size,n_default,n_online,reward_default,reward_online
8.0,19.0,7.0,-302.30907663009316,-151.25815
8.0,15.0,10.0,-335.913660257155,-332.206057932
8.0,6.0,23.0,-101.40458000000002,-249.00956266810456
8.0,9.0,9.0,-355.74377748000006,-237.71807052000008
8.0,7.0,9.0,-197.51282100000003,-202.08140720999998
8.0,12.0,12.0,-510.79206228610013,-456.21520793599007
8.0,9.0,14.0,-274.67609651000004,-409.49835059618005
8.0,12.0,17.0,-393.1112972864601,-350.7719193667613
8.0,4.0,3.0,-142.695,-123.93
8.0,11.0,9.0,-312.69375965910007,-313.78620333000003
