size,n_default,n_online,reward_default,reward_online
8.0,9.0,12.0,-405.38060586000006,-423.2544596910001
8.0,11.0,12.0,-211.72828918000005,-215.96630232910005
8.0,6.0,8.0,-87.1,-133.89937540000003
8.0,7.0,9.0,-190.478155,-224.8108411
8.0,12.0,6.0,-490.42537905000006,-260.71860000000004
8.0,9.0,15.0,-248.33854346,-234.6757839150601
8.0,14.0,8.0,-195.83006545021652,-262.36044240000007
8.0,2.0,1.0,-73.5,-69.0
8.0,14.0,8.0,-156.76972962145183,-172.88454490000004
8.0,18.0,10.0,-381.16604521242317,-306.53767108900007
8.0,10.0,11.0,-273.56311308900007,-228.51121944900004
8.0,3.0,3.0,-43.31,-43.31
8.0,9.0,5.0,-224.65229372000005,-75.41000000000001
8.0,14.0,10.0,-491.401968492152,-393.0399891290001
8.0,22.0,6.0,-175.54253731939247,-85.99148000000001
8.0,10.0,9.0,-367.509720324,-334.91651321999996
8.0,11.0,9.0,-295.53847319050004,-203.93007325000002
8.0,10.0,14.0,-352.238815449,-443.89615245314496
8.0,13.0,3.0,-335.10431080145213,-60.61
8.0,12.0,20.0,-286.71422406292,-436.4527821420569
8.0,9.0,4.0,-254.48330495000002,-100.11800000000001
8.0,8.0,7.0,-226.42481120000005,-187.754945
8.0,8.0,14.0,-266.9692339,-465.980789362808
8.0,18.0,11.0,-295.1156144171277,-259.24296850430005
